Freq (eV)	Huang-Rhys Factor
0.010486567	0.147
0.015711252	0.05
0.023524724	0.14
0.029740042	0.107
0.034424158	0.048
0.043600213	0.048
0.046248512	0.149
0.049402665	1.478
0.051884824	0.036
0.056774753	0.026
0.062473058	0.052
0.068466444	0.505
0.074358164	0.009
0.076178249	0.035
0.084171498	0.01
0.091429521	1.285
0.091754359	0.005
0.094367942	0.209
0.095803677	0.007
0.096798028	0.007
0.099833157	0.449
0.105024367	0.011
0.106220812	0.095
0.107639189	0.004
0.109086083	0.002
0.111346311	0.455
0.111633954	0.001
0.114319447	0.577
0.125356503	0.006
0.12972198	0.082
0.135088007	1.044
0.138268197	0.59
0.142667149	1.08
0.146296161	0.644
0.147900514	0.539
0.154760548	0.151
0.158261856	0.523
0.161325501	0.058
0.165602949	0.052
0.172304284	0.436
0.175970491	0.217
0.183316543	0.049
0.185155226	0.337
0.195830248	0.491
0.198242977	0.281
0.205196	0.77
0.222836443	0.242
0.392212225	0.043
0.393758306	0.002
0.398544088	0.006
0.398658154	0.006
0.402510336	0.018
0.406226137	0.004
